x y ref_solution classical_solution
0.0 -1.0 -1.0000000000000002 -0.9998349418685839
0.0 -0.9591836929321289 -0.9124599589916349 -0.9128645746007978
0.0 -0.918367326259613 -0.815794110367587 -0.8155116469754167
0.0 -0.8775510191917419 -0.7138057399551386 -0.7140268987242995
0.0 -0.8367347121238708 -0.6100422646736567 -0.6102449594417217
0.0 -0.795918345451355 -0.5077156660614153 -0.5074349220212688
0.0 -0.7551020383834839 -0.4096377193504024 -0.40950113518732045
0.0 -0.7142857313156128 -0.3181696896906925 -0.31825512351224716
0.0 -0.6734694242477417 -0.23518997637698685 -0.23509156093641825
0.0 -0.6326530575752258 -0.16207749372202584 -0.16195172359261073
0.0 -0.5918367505073547 -0.09971200647121684 -0.09975320589861236
0.0 -0.5510204434394836 -0.04848895119660677 -0.048526316206960185
0.0 -0.5102040767669678 -0.008349701865418845 -0.008343337451607313
0.0 -0.4693877696990967 0.021139455951791813 0.021120097569447216
0.0 -0.4285714328289032 0.04083957108120512 0.04080503278763048
0.0 -0.3877551257610321 0.05188910777278363 0.05189879712960738
0.0 -0.3469387888908386 0.05563737341359967 0.05566619625941288
0.0 -0.30612245202064514 0.0535836566610339 0.053546482606445234
0.0 -0.26530614495277405 0.04730172577794837 0.047173676892816874
0.0 -0.22448980808258057 0.03836502267006708 0.03822501647864729
0.0 -0.18367348611354828 0.02827510470494335 0.02823680082925545
0.0 -0.142857164144516 0.018395482742439594 0.018509684711665253
0.0 -0.1020408347249031 0.009893036394934149 0.010111966821212182
0.0 -0.06122450903058052 0.0036887782984959387 0.003923532643306582
0.0 -0.020408183336257935 0.0004194890385586179 0.0006355250127172418
0.0 0.020408183336257935 0.00041948903855861783 0.0006496913335501953
0.0 0.06122450903058052 0.0036887782984959374 0.0039345531265082
0.0 0.1020408347249031 0.009893036394934149 0.010036173945269955
0.0 0.142857164144516 0.018395482742439594 0.018327012168457113
0.0 0.18367348611354828 0.02827510470494335 0.028150189057190078
0.0 0.22448980808258057 0.038365022670067056 0.03847114875252511
0.0 0.26530614495277405 0.04730172577794835 0.04744508855483187
0.0 0.30612245202064514 0.0535836566610339 0.053257108640683615
0.0 0.3469387888908386 0.05563737341359966 0.055440674673613355
0.0 0.3877551257610321 0.05188910777278363 0.052046602729860614
0.0 0.4285714328289032 0.04083957108120516 0.04040873942169404
0.0 0.4693877696990967 0.021139455951791754 0.021240071941217964
0.0 0.5102040767669678 -0.008349701865418774 -0.008293893324001655
0.0 0.5510204434394836 -0.04848895119660687 -0.048571262284053174
0.0 0.5918367505073547 -0.09971200647121672 -0.09946041982270576
0.0 0.6326530575752258 -0.1620774937220259 -0.1621587569609192
0.0 0.6734694242477417 -0.23518997637698688 -0.23491404375552016
0.0 0.7142857313156128 -0.3181696896906926 -0.31831739765911443
0.0 0.7551020383834839 -0.40963771935040244 -0.40956478460557216
0.0 0.795918345451355 -0.5077156660614152 -0.5074744317260199
0.0 0.8367347121238708 -0.6100422646736569 -0.6102401384805649
0.0 0.8775510191917419 -0.7138057399551381 -0.7137986485748459
0.0 0.918367326259613 -0.8157941103675868 -0.8155477793972459
0.0 0.9591836929321289 -0.912459958991635 -0.9127639702128969
0.0 1.0 -1.0 -0.9994101611742638
